menu_provider_key,menu_provider_label,provider_key,fornitore,commodity,tipo_prezzo,nome_offerta,codice_offerta,data_inizio,data_fine,prezzo_calcolo,quota_fissa_calcolo,azione,motivi,url_offerta,fonte,score
"pulsee","Pulsee Luce e Gas","pulsee","Pulsee Luce e Gas","luce","fisso","Pulsee Luce RELAX Fix 36 mesi","040505ESFML06XXPULSEEFIX77272606","23/06/2026_12:00:00","30/06/2026_11:59:59","0.11599","144","pronta_fisso","prezzo fisso domestico leggibile","https://pulsee.it/offerte-casa-luce-gas","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.844"
"iren","Iren Luce e Gas","iren","Iren Luce e Gas","luce","fisso","IREN 36 FISSO LUCE SUMMER EDITION","000208ESFML02XX000IEDOMLSE260702","12/06/2026_00:00:00","02/07/2026_23:59:59","0.1012","147","pronta_fisso","prezzo fisso domestico leggibile","https://www.irenlucegas.it/casa/offerte-luce/iren-36-luce","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.843"
"pulsee","Pulsee Luce e Gas","pulsee","Pulsee Luce e Gas","luce","fisso","Pulsee Luce e Gas RELAX Fix - P","040505DSFML06XXPULSEEFIX77162606","23/06/2026_12:00:00","30/06/2026_11:59:59","0.12845","144","pronta_fisso","prezzo fisso domestico leggibile","https://pulsee.it/offerte-casa-luce-gas/luce-gas-relax","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.843"
"pulsee","Pulsee Luce e Gas","pulsee","Pulsee Luce e Gas","luce","fisso","Pulsee Luce RELAX Fix","040505ESFML06XXPULSEEFIX77082606","23/06/2026_12:00:00","30/06/2026_11:59:59","0.12845","144","pronta_fisso","prezzo fisso domestico leggibile","https://pulsee.it/offerte-casa-luce-gas/luce-relax","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.843"
"eni","Eni Plenitude","eni","Eni Plenitude","luce","fisso","Fixa Time","026160ESFML49XXLFIXATIVBAS160626","16/06/2026_00:00:01","29/06/2026_23:59:59","0.1399","144","pronta_fisso","prezzo fisso domestico leggibile","https://eniplenitude.com/offerta/casa/gas-e-luce/fixa-time","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.842"
"alperia","Alperia","alperia","Alperia","luce","fisso","Alperia Smile Clear","000368ESFML01XX3395080X260611XVE","11/06/2026_00:00:00","10/07/2026_23:59:59","0.1386","145.2","pronta_fisso","prezzo fisso domestico leggibile","https://www.alperia.eu/offerta/alperia-smile-clear","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.841"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON Luce Casa Per 24","000362ESFML01XXZL16S2DACR000C000","19/06/2026_00:00:00","02/07/2026_23:59:59","0.1354","145.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/informazioni-utili/delibera-arera-di-prima-attuazione-dl-bollette.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.841"
"enel","Enel Energia","enel","Enel Energia","luce","fisso","Enel Fix Web Luce","000142ESFML01XXResECAn0000115810","12/06/2026_00:00:00","02/07/2026_23:59:59","0.1495","144","pronta_fisso","prezzo fisso domestico leggibile","https://www.enel.it/it-it/offerte-luce/enel-fix-web-luce","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.841"
"iren","Iren Luce e Gas","iren","Iren Luce e Gas","luce","fisso","IREN PRONTO FISSA LUCE","000208ESFML13XX000IEDOPRSC260702","12/06/2026_00:00:00","02/07/2026_23:59:59","0.121","147","pronta_fisso","prezzo fisso domestico leggibile","https://www.irenlucegas.it/casa/pacchetti-offerte-luce-e-gas/altre-offerte","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.841"
"edison","Edison","edison","Edison Energia","luce","fisso","Edison EasyFix Luce","000190ESFML28XXLEEAFX001X28XXXX5","25/06/2026_00:00:00","30/06/2026_23:59:59","0.155","144","pronta_fisso","prezzo fisso domestico leggibile","https://www.edisonenergia.it/edison/casa/luce/edison-easyfix-luce","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.840"
